Year,Units,Country,Region,Sector performing research and development,Product groups of UK business performing research and development,Sector funding research and development,Sector funding research and development for business,Value
2001,Performing research and development,Northern Ireland,,Government,,,,0.001066642
2001,Performing research and development,Northern Ireland,,Higher education,,,,0.004999887
2001,Performing research and development,Northern Ireland,,Business,,,,0.009999773
2002,Performing research and development,,North West,Government,,,,0.004359416
2002,Performing research and development,,North West,Higher education,,,,0.024074389
2002,Performing research and development,,North West,Business,,,,0.104365728
2002,Performing research and development,,North East,Government,,,,0.000390395
2002,Performing research and development,,North East,Higher education,,,,0.010800942
2002,Performing research and development,,North East,Business,,,,0.008068173
2002,Performing research and development,,Yorkshire and the Humber,Government,,,,0.004034087
2002,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.023163466
2002,Performing research and development,,Yorkshire and the Humber,Business,,,,0.021927213
2002,Performing research and development,,East Midlands,Government,,,,0.004229284
2002,Performing research and development,,East Midlands,Higher education,,,,0.016006215
2002,Performing research and development,,East Midlands,Business,,,,0.063374201
2002,Performing research and development,,West Midlands,Government,,,,0.003253296
2002,Performing research and development,,West Midlands,Higher education,,,,0.015030226
2002,Performing research and development,,West Midlands,Business,,,,0.050361018
2002,Performing research and development,,East of England,Government,,,,0.018543786
2002,Performing research and development,,East of England,Higher education,,,,0.02739275
2002,Performing research and development,,East of England,Business,,,,0.172424675
2002,Performing research and development,,London,Government,,,,0.015485688
2002,Performing research and development,,London,Higher education,,,,0.072093034
2002,Performing research and development,,London,Business,,,,0.056282016
2002,Performing research and development,,South East,Government,,,,0.030776178
2002,Performing research and development,,South East,Higher education,,,,0.041381922
2002,Performing research and development,,South East,Business,,,,0.205348028
2002,Performing research and development,,South West,Government,,,,0.014835029
2002,Performing research and development,,South West,Higher education,,,,0.013013183
2002,Performing research and development,,South West,Business,,,,0.07534633
2002,Performing research and development,England,,Government,,,,0.095907159
2002,Performing research and development,England,,Higher education,,,,0.242956127
2002,Performing research and development,England,,Business,,,,0.757497383
2002,Performing research and development,Wales,,Government,,,,0.002667703
2002,Performing research and development,Wales,,Higher education,,,,0.012232392
2002,Performing research and development,Wales,,Business,,,,0.012167326
2002,Performing research and development,Scotland,,Government,,,,0.015420622
2002,Performing research and development,Scotland,,Higher education,,,,0.039560076
2002,Performing research and development,Scotland,,Business,,,,0.032988419
2002,Performing research and development,Northern Ireland,,Government,,,,0.000975989
2002,Performing research and development,Northern Ireland,,Higher education,,,,0.005725801
2002,Performing research and development,Northern Ireland,,Business,,,,0.009694821
2003,Performing research and development,,North West,Government,,,,0.004722865
2003,Performing research and development,,North West,Higher education,,,,0.0245589
2003,Performing research and development,,North West,Business,,,,0.096850227
2003,Performing research and development,,North East,Government,,,,0.000125943
2003,Performing research and development,,North East,Higher education,,,,0.010705162
2003,Performing research and development,,North East,Business,,,,0.009382759
2003,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003148577
2003,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.023488384
2003,Performing research and development,,Yorkshire and the Humber,Business,,,,0.021095465
2003,Performing research and development,,East Midlands,Government,,,,0.004974752
2003,Performing research and development,,East Midlands,Higher education,,,,0.015050198
2003,Performing research and development,,East Midlands,Business,,,,0.054281466
2003,Performing research and development,,West Midlands,Government,,,,0.003652349
2003,Performing research and development,,West Midlands,Higher education,,,,0.015428027
2003,Performing research and development,,West Midlands,Business,,,,0.049999402
2003,Performing research and development,,East of England,Government,,,,0.021725181
2003,Performing research and development,,East of England,Higher education,,,,0.02783342
2003,Performing research and development,,East of England,Business,,,,0.183562035
2003,Performing research and development,,London,Government,,,,0.018450661
2003,Performing research and development,,London,Higher education,,,,0.072291326
2003,Performing research and development,,London,Business,,,,0.042127959
2003,Performing research and development,,South East,Government,,,,0.032619257
2003,Performing research and development,,South East,Higher education,,,,0.041498244
2003,Performing research and development,,South East,Business,,,,0.205665046
2003,Performing research and development,,South West,Government,,,,0.018639575
2003,Performing research and development,,South West,Higher education,,,,0.012972137
2003,Performing research and development,,South West,Business,,,,0.076888249
2003,Performing research and development,England,,Government,,,,0.108059161
2003,Performing research and development,England,,Higher education,,,,0.243825798
2003,Performing research and development,England,,Business,,,,0.739789637
2003,Performing research and development,Wales,,Government,,,,0.003589378
2003,Performing research and development,Wales,,Higher education,,,,0.011838649
2003,Performing research and development,Wales,,Business,,,,0.012594308
2003,Performing research and development,Scotland,,Government,,,,0.017443116
2003,Performing research and development,Scotland,,Higher education,,,,0.038916411
2003,Performing research and development,Scotland,,Business,,,,0.027770449
2003,Performing research and development,Northern Ireland,,Government,,,,0.001070516
2003,Performing research and development,Northern Ireland,,Higher education,,,,0.006737955
2003,Performing research and development,Northern Ireland,,Business,,,,0.007304698
2004,Performing research and development,,North West,Government,,,,0.005167428
2004,Performing research and development,,North West,Higher education,,,,0.025591071
2004,Performing research and development,,North West,Business,,,,0.106978058
2004,Performing research and development,,North East,Government,,,,0.000123034
2004,Performing research and development,,North East,Higher education,,,,0.010826991
2004,Performing research and development,,North East,Business,,,,0.015809868
2004,Performing research and development,,Yorkshire and the Humber,Government,,,,0.00307585
2004,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.023868595
2004,Performing research and development,,Yorkshire and the Humber,Business,,,,0.02110033
2004,Performing research and development,,East Midlands,Government,,,,0.00492136
2004,Performing research and development,,East Midlands,Higher education,,,,0.015010147
2004,Performing research and development,,East Midlands,Business,,,,0.057579909
2004,Performing research and development,,West Midlands,Government,,,,0.002829782
2004,Performing research and development,,West Midlands,Higher education,,,,0.016548072
2004,Performing research and development,,West Midlands,Business,,,,0.046629884
2004,Performing research and development,,East of England,Government,,,,0.023253425
2004,Performing research and development,,East of England,Higher education,,,,0.028543887
2004,Performing research and development,,East of England,Business,,,,0.164373416
2004,Performing research and development,,London,Government,,,,0.018393582
2004,Performing research and development,,London,Higher education,,,,0.073082192
2004,Performing research and development,,London,Business,,,,0.046691401
2004,Performing research and development,,South East,Government,,,,0.033403729
2004,Performing research and development,,South East,Higher education,,,,0.041708524
2004,Performing research and development,,South East,Business,,,,0.192240615
2004,Performing research and development,,South West,Government,,,,0.020239092
2004,Performing research and development,,South West,Higher education,,,,0.013410705
2004,Performing research and development,,South West,Business,,,,0.079726028
2004,Performing research and development,England,,Government,,,,0.111407281
2004,Performing research and development,England,,Higher education,,,,0.248590184
2004,Performing research and development,England,,Business,,,,0.731129507
2004,Performing research and development,Wales,,Government,,,,0.003137367
2004,Performing research and development,Wales,,Higher education,,,,0.012180365
2004,Performing research and development,Wales,,Business,,,,0.013902841
2004,Performing research and development,Scotland,,Government,,,,0.017593861
2004,Performing research and development,Scotland,,Higher education,,,,0.039432395
2004,Performing research and development,Scotland,,Business,,,,0.026452309
2004,Performing research and development,Northern Ireland,,Government,,,,0.001291857
2004,Performing research and development,Northern Ireland,,Higher education,,,,0.007628108
2004,Performing research and development,Northern Ireland,,Business,,,,0.00738204
2005,Performing research and development,,North West,Government,,,,0.005071914
2005,Performing research and development,,North West,Higher education,,,,0.028343048
2005,Performing research and development,,North West,Business,,,,0.112894834
2005,Performing research and development,,North East,Government,,,,0.000119339
2005,Performing research and development,,North East,Higher education,,,,0.011277549
2005,Performing research and development,,North East,Business,,,,0.017244507
2005,Performing research and development,,Yorkshire and the Humber,Government,,,,0.002983479
2005,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.025001551
2005,Performing research and development,,Yorkshire and the Humber,Business,,,,0.020526333
2005,Performing research and development,,East Midlands,Government,,,,0.005250922
2005,Performing research and development,,East Midlands,Higher education,,,,0.016170454
2005,Performing research and development,,East Midlands,Business,,,,0.060027591
2005,Performing research and development,,West Midlands,Government,,,,0.00286414
2005,Performing research and development,,West Midlands,Higher education,,,,0.017483185
2005,Performing research and development,,West Midlands,Business,,,,0.043021763
2005,Performing research and development,,East of England,Government,,,,0.022734108
2005,Performing research and development,,East of England,Higher education,,,,0.030192804
2005,Performing research and development,,East of England,Business,,,,0.221851475
2005,Performing research and development,,London,Government,,,,0.01963129
2005,Performing research and development,,London,Higher education,,,,0.080911942
2005,Performing research and development,,London,Business,,,,0.032937605
2005,Performing research and development,,South East,Government,,,,0.033355292
2005,Performing research and development,,South East,Higher education,,,,0.046064911
2005,Performing research and development,,South East,Business,,,,0.186467418
2005,Performing research and development,,South West,Government,,,,0.021600386
2005,Performing research and development,,South West,Higher education,,,,0.015215741
2005,Performing research and development,,South West,Business,,,,0.071663158
2005,Performing research and development,England,,Government,,,,0.113730208
2005,Performing research and development,England,,Higher education,,,,0.270661187
2005,Performing research and development,England,,Business,,,,0.766575014
2005,Performing research and development,Wales,,Government,,,,0.003341496
2005,Performing research and development,Wales,,Higher education,,,,0.013186976
2005,Performing research and development,Wales,,Business,,,,0.013843341
2005,Performing research and development,Scotland,,Government,,,,0.018318559
2005,Performing research and development,Scotland,,Higher education,,,,0.041112336
2005,Performing research and development,Scotland,,Business,,,,0.030192804
2005,Performing research and development,Northern Ireland,,Government,,,,0.001193391
2005,Performing research and development,Northern Ireland,,Higher education,,,,0.007995723
2005,Performing research and development,Northern Ireland,,Business,,,,0.008831097
2006,Performing research and development,,North West,Government,,,,0.005008576
2006,Performing research and development,,North West,Higher education,,,,0.030925043
2006,Performing research and development,,North West,Business,,,,0.094522307
2006,Performing research and development,,North East,Government,,,,0.000174718
2006,Performing research and development,,North East,Higher education,,,,0.011997286
2006,Performing research and development,,North East,Business,,,,0.017005862
2006,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003436116
2006,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.026615338
2006,Performing research and development,,Yorkshire and the Humber,Business,,,,0.022363873
2006,Performing research and development,,East Midlands,Government,,,,0.004892097
2006,Performing research and development,,East Midlands,Higher education,,,,0.016831144
2006,Performing research and development,,East Midlands,Business,,,,0.057365664
2006,Performing research and development,,West Midlands,Government,,,,0.001980135
2006,Performing research and development,,West Midlands,Higher education,,,,0.017646494
2006,Performing research and development,,West Midlands,Business,,,,0.053288916
2006,Performing research and development,,East of England,Government,,,,0.021373806
2006,Performing research and development,,East of England,Higher education,,,,0.030284411
2006,Performing research and development,,East of England,Business,,,,0.212573272
2006,Performing research and development,,London,Government,,,,0.018578322
2006,Performing research and development,,London,Higher education,,,,0.08491283
2006,Performing research and development,,London,Business,,,,0.051367021
2006,Performing research and development,,South East,Government,,,,0.036108337
2006,Performing research and development,,South East,Higher education,,,,0.048688015
2006,Performing research and development,,South East,Business,,,,0.194926779
2006,Performing research and development,,South West,Government,,,,0.022771548
2006,Performing research and development,,South West,Higher education,,,,0.016190512
2006,Performing research and development,,South West,Business,,,,0.071750759
2006,Performing research and development,England,,Government,,,,0.114323653
2006,Performing research and development,England,,Higher education,,,,0.284032835
2006,Performing research and development,England,,Business,,,,0.775280932
2006,Performing research and development,Wales,,Government,,,,0.002446049
2006,Performing research and development,Wales,,Higher education,,,,0.013686224
2006,Performing research and development,Wales,,Business,,,,0.012579679
2006,Performing research and development,Scotland,,Government,,,,0.016772905
2006,Performing research and development,Scotland,,Higher education,,,,0.044960703
2006,Performing research and development,Scotland,,Business,,,,0.026790056
2006,Performing research and development,Northern Ireland,,Government,,,,0.001223024
2006,Performing research and development,Northern Ireland,,Higher education,,,,0.008095256
2006,Performing research and development,Northern Ireland,,Business,,,,0.009143563
2007,Performing research and development,,North West,Government,,,,0.005177748
2007,Performing research and development,,North West,Higher education,,,,0.030668197
2007,Performing research and development,,North West,Business,,,,0.114991514
2007,Performing research and development,,North East,Government,,,,5.68983E-05
2007,Performing research and development,,North East,Higher education,,,,0.01189175
2007,Performing research and development,,North East,Business,,,,0.018833345
2007,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003015611
2007,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.026400823
2007,Performing research and development,,Yorkshire and the Humber,Business,,,,0.024807669
2007,Performing research and development,,East Midlands,Government,,,,0.005063951
2007,Performing research and development,,East Midlands,Higher education,,,,0.016728107
2007,Performing research and development,,East Midlands,Business,,,,0.060426021
2007,Performing research and development,,West Midlands,Government,,,,0.001308661
2007,Performing research and development,,West Midlands,Higher education,,,,0.017524684
2007,Performing research and development,,West Midlands,Business,,,,0.056613833
2007,Performing research and development,,East of England,Government,,,,0.021223075
2007,Performing research and development,,East of England,Higher education,,,,0.030099214
2007,Performing research and development,,East of England,Business,,,,0.227138111
2007,Performing research and development,,London,Government,,,,0.016955701
2007,Performing research and development,,London,Higher education,,,,0.084266418
2007,Performing research and development,,London,Business,,,,0.060710512
2007,Performing research and development,,South East,Government,,,,0.041308184
2007,Performing research and development,,South East,Higher education,,,,0.048306677
2007,Performing research and development,,South East,Business,,,,0.19999761
2007,Performing research and development,,South West,Government,,,,0.017467786
2007,Performing research and development,,South West,Higher education,,,,0.016045327
2007,Performing research and development,,South West,Business,,,,0.069928041
2007,Performing research and development,England,,Government,,,,0.111577614
2007,Performing research and development,England,,Higher education,,,,0.281931197
2007,Performing research and development,England,,Business,,,,0.833503554
2007,Performing research and development,Wales,,Government,,,,0.002503526
2007,Performing research and development,Wales,,Higher education,,,,0.013541801
2007,Performing research and development,Wales,,Business,,,,0.017524684
2007,Performing research and development,Scotland,,Government,,,,0.018719549
2007,Performing research and development,Scotland,,Higher education,,,,0.044608286
2007,Performing research and development,Scotland,,Business,,,,0.03089579
2007,Performing research and development,Northern Ireland,,Government,,,,0.001137966
2007,Performing research and development,Northern Ireland,,Higher education,,,,0.008022664
2007,Performing research and development,Northern Ireland,,Business,,,,0.010071003
2008,Performing research and development,,North West,Government,,,,0.004744983
2008,Performing research and development,,North West,Higher education,,,,0.031614163
2008,Performing research and development,,North West,Business,,,,0.121768838
2008,Performing research and development,,North East,Government,,,,0.000114337
2008,Performing research and development,,North East,Higher education,,,,0.012519895
2008,Performing research and development,,North East,Business,,,,0.018179573
2008,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003258603
2008,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.02726936
2008,Performing research and development,,Yorkshire and the Humber,Business,,,,0.024753947
2008,Performing research and development,,East Midlands,Government,,,,0.005373836
2008,Performing research and development,,East Midlands,Higher education,,,,0.018751258
2008,Performing research and development,,East Midlands,Business,,,,0.055796425
2008,Performing research and development,,West Midlands,Government,,,,0.000171505
2008,Performing research and development,,West Midlands,Higher education,,,,0.018694089
2008,Performing research and development,,West Midlands,Business,,,,0.050651263
2008,Performing research and development,,East of England,Government,,,,0.022524377
2008,Performing research and development,,East of England,Higher education,,,,0.031957174
2008,Performing research and development,,East of England,Business,,,,0.239078536
2008,Performing research and development,,London,Government,,,,0.017493551
2008,Performing research and development,,London,Higher education,,,,0.089697327
2008,Performing research and development,,London,Business,,,,0.063399832
2008,Performing research and development,,South East,Government,,,,0.04367671
2008,Performing research and development,,South East,Higher education,,,,0.052594991
2008,Performing research and development,,South East,Business,,,,0.198145912
2008,Performing research and development,,South West,Government,,,,0.020409143
2008,Performing research and development,,South West,Higher education,,,,0.018122405
2008,Performing research and development,,South West,Business,,,,0.07689159
2008,Performing research and development,England,,Government,,,,0.117709877
2008,Performing research and development,England,,Higher education,,,,0.301220661
2008,Performing research and development,England,,Business,,,,0.848780254
2008,Performing research and development,Wales,,Government,,,,0.001200538
2008,Performing research and development,Wales,,Higher education,,,,0.013606096
2008,Performing research and development,Wales,,Business,,,,0.013891938
2008,Performing research and development,Scotland,,Government,,,,0.016636024
2008,Performing research and development,Scotland,,Higher education,,,,0.050937106
2008,Performing research and development,Scotland,,Business,,,,0.031671332
2008,Performing research and development,Northern Ireland,,Government,,,,0.001086201
2008,Performing research and development,Northern Ireland,,Higher education,,,,0.008403765
2008,Performing research and development,Northern Ireland,,Business,,,,0.009775808
2009,Performing research and development,,North West,Government,,,,0.005429714
2009,Performing research and development,,North West,Higher education,,,,0.034964972
2009,Performing research and development,,North West,Business,,,,0.114919005
2009,Performing research and development,,North East,Government,,,,5.96672E-05
2009,Performing research and development,,North East,Higher education,,,,0.013842788
2009,Performing research and development,,North East,Business,,,,0.018795164
2009,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003639698
2009,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.03013193
2009,Performing research and development,,Yorkshire and the Humber,Business,,,,0.027088904
2009,Performing research and development,,East Midlands,Government,,,,0.005668383
2009,Performing research and development,,East Midlands,Higher education,,,,0.020704514
2009,Performing research and development,,East Midlands,Business,,,,0.059189851
2009,Performing research and development,,West Midlands,Government,,,,0.000179002
2009,Performing research and development,,West Midlands,Higher education,,,,0.020644847
2009,Performing research and development,,West Midlands,Business,,,,0.050597776
2009,Performing research and development,,East of England,Government,,,,0.023389538
2009,Performing research and development,,East of England,Higher education,,,,0.035322976
2009,Performing research and development,,East of England,Business,,,,0.227451322
2009,Performing research and development,,London,Government,,,,0.019332169
2009,Performing research and development,,London,Higher education,,,,0.0991072
2009,Performing research and development,,London,Business,,,,0.05411814
2009,Performing research and development,,South East,Government,,,,0.047554749
2009,Performing research and development,,South East,Higher education,,,,0.058115841
2009,Performing research and development,,South East,Business,,,,0.224229294
2009,Performing research and development,,South West,Government,,,,0.023628207
2009,Performing research and development,,South West,Higher education,,,,0.020048175
2009,Performing research and development,,South West,Business,,,,0.080491037
2009,Performing research and development,England,,Government,,,,0.128881127
2009,Performing research and development,England,,Higher education,,,,0.332883244
2009,Performing research and development,England,,Business,,,,0.856820825
2009,Performing research and development,Wales,,Government,,,,0.001432013
2009,Performing research and development,Wales,,Higher education,,,,0.015036131
2009,Performing research and development,Wales,,Business,,,,0.014499127
2009,Performing research and development,Scotland,,Government,,,,0.018019491
2009,Performing research and development,Scotland,,Higher education,,,,0.056325826
2009,Performing research and development,Scotland,,Business,,,,0.037649996
2009,Performing research and development,Northern Ireland,,Government,,,,0.001133677
2009,Performing research and development,Northern Ireland,,Higher education,,,,0.009308081
2009,Performing research and development,Northern Ireland,,Business,,,,0.017721155
2010,Performing research and development,,North West,Government,,,,0.005456581
2010,Performing research and development,,North West,Higher education,,,,0.033912943
2010,Performing research and development,,North West,Business,,,,0.121687621
2010,Performing research and development,,North East,Higher education,,,,0.013729462
2010,Performing research and development,,North East,Business,,,,0.018071257
2010,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003285683
2010,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.029160438
2010,Performing research and development,,Yorkshire and the Humber,Business,,,,0.028632381
2010,Performing research and development,,East Midlands,Government,,,,0.005749945
2010,Performing research and development,,East Midlands,Higher education,,,,0.01994879
2010,Performing research and development,,East Midlands,Business,,,,0.066711102
2010,Performing research and development,,West Midlands,Government,,,,5.86729E-05
2010,Performing research and development,,West Midlands,Higher education,,,,0.020535519
2010,Performing research and development,,West Midlands,Business,,,,0.051984201
2010,Performing research and development,,East of England,Government,,,,0.022119688
2010,Performing research and development,,East of England,Higher education,,,,0.035790477
2010,Performing research and development,,East of England,Business,,,,0.225656022
2010,Performing research and development,,London,Government,,,,0.019890117
2010,Performing research and development,,London,Higher education,,,,0.098277129
2010,Performing research and development,,London,Business,,,,0.051456144
2010,Performing research and development,,South East,Government,,,,0.047701078
2010,Performing research and development,,South East,Higher education,,,,0.057558127
2010,Performing research and development,,South East,Business,,,,0.222839722
2010,Performing research and development,,South West,Government,,,,0.023586511
2010,Performing research and development,,South West,Higher education,,,,0.020066136
2010,Performing research and development,,South West,Business,,,,0.085310415
2010,Performing research and development,England,,Government,,,,0.127906949
2010,Performing research and development,England,,Higher education,,,,0.328979021
2010,Performing research and development,England,,Business,,,,0.872348864
2010,Performing research and development,Wales,,Government,,,,0.001290804
2010,Performing research and development,Wales,,Higher education,,,,0.015020266
2010,Performing research and development,Wales,,Business,,,,0.013729462
2010,Performing research and development,Scotland,,Government,,,,0.01713249
2010,Performing research and development,Scotland,,Higher education,,,,0.055387229
2010,Performing research and development,Scotland,,Business,,,,0.036318533
2010,Performing research and development,Northern Ireland,,Government,,,,0.001114785
2010,Performing research and development,Northern Ireland,,Higher education,,,,0.009152974
2010,Performing research and development,Northern Ireland,,Business,,,,0.019010024
2011,Performing research and development,,North West,Government,,,,0.00485796
2011,Performing research and development,,North West,Higher education,,,,0.03325389
2011,Performing research and development,,North West,Business,,,,0.128388933
2011,Performing research and development,,North West,Private non-profit,,,,0.002255481
2011,Performing research and development,,North West,,,,,0.168756264
2011,Performing research and development,,North East,Higher education,,,,0.013417222
2011,Performing research and development,,North East,Business,,,,0.014978709
2011,Performing research and development,,North East,Private non-profit,,,,0.001272323
2011,Performing research and development,,North East,,,,,0.029668253
2011,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003296473
2011,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.028627262
2011,Performing research and development,,Yorkshire and the Humber,Business,,,,0.031808069
2011,Performing research and development,,Yorkshire and the Humber,Private non-profit,,,,0.000173499
2011,Performing research and development,,Yorkshire and the Humber,,,,,0.063905302
2011,Performing research and development,,East Midlands,Government,,,,0.005841118
2011,Performing research and development,,East Midlands,Higher education,,,,0.019721003
2011,Performing research and development,,East Midlands,Business,,,,0.066276449
2011,Performing research and development,,East Midlands,Private non-profit,,,,0.000289164
2011,Performing research and development,,East Midlands,,,,,0.092127734
2011,Performing research and development,,West Midlands,Government,,,,5.78329E-05
2011,Performing research and development,,West Midlands,Higher education,,,,0.02087766
2011,Performing research and development,,West Midlands,Business,,,,0.074083884
2011,Performing research and development,,West Midlands,Private non-profit,,,,0.000289164
2011,Performing research and development,,West Midlands,,,,,0.095308541
2011,Performing research and development,,East of England,Government,,,,0.012087066
2011,Performing research and development,,East of England,Higher education,,,,0.036550363
2011,Performing research and development,,East of England,Business,,,,0.210453751
2011,Performing research and development,,East of England,Private non-profit,,,,0.014689545
2011,Performing research and development,,East of England,,,,,0.273780724
2011,Performing research and development,,London,Government,,,,0.018737844
2011,Performing research and development,,London,Higher education,,,,0.100744829
2011,Performing research and development,,London,Business,,,,0.064657129
2011,Performing research and development,,London,Private non-profit,,,,0.008385764
2011,Performing research and development,,London,,,,,0.192525566
2011,Performing research and development,,South East,Government,,,,0.048637429
2011,Performing research and development,,South East,Higher education,,,,0.058931677
2011,Performing research and development,,South East,Business,,,,0.264816632
2011,Performing research and development,,South East,Private non-profit,,,,0.001677153
2011,Performing research and development,,South East,,,,,0.374062891
2011,Performing research and development,,South West,Government,,,,0.02330664
2011,Performing research and development,,South West,Higher education,,,,0.020588496
2011,Performing research and development,,South West,Business,,,,0.078594847
2011,Performing research and development,,South West,Private non-profit,,,,0.000636161
2011,Performing research and development,,South West,,,,,0.123126143
2011,Performing research and development,England,,Government,,,,0.116822362
2011,Performing research and development,England,,Higher education,,,,0.332712401
2011,Performing research and development,England,,Business,,,,0.934058403
2011,Performing research and development,England,,Private non-profit,,,,0.029668253
2011,Performing research and development,England,,,,,,1.41326142
2011,Performing research and development,Wales,,Government,,,,0.00202415
2011,Performing research and development,Wales,,Higher education,,,,0.015441372
2011,Performing research and development,Wales,,Business,,,,0.014573879
2011,Performing research and development,Wales,,Private non-profit,,,,0.000115666
2011,Performing research and development,Wales,,,,,,0.032155066
2011,Performing research and development,Scotland,,Government,,,,0.016193199
2011,Performing research and development,Scotland,,Higher education,,,,0.054999043
2011,Performing research and development,Scotland,,Business,,,,0.040309498
2011,Performing research and development,Scotland,,Private non-profit,,,,0.000636161
2011,Performing research and development,Scotland,,,,,,0.112137901
2011,Performing research and development,Northern Ireland,,Government,,,,0.00121449
2011,Performing research and development,Northern Ireland,,Higher education,,,,0.008501429
2011,Performing research and development,Northern Ireland,,Business,,,,0.020357164
2011,Performing research and development,Northern Ireland,,,,,,0.030073083
2012,Performing research and development,,North West,Government,,,,0.004388124
2012,Performing research and development,,North West,Higher education,,,,0.032711473
2012,Performing research and development,,North West,Business,,,,0.101496749
2012,Performing research and development,,North West,Private non-profit,,,,0.002197204
2012,Performing research and development,,North West,,,,,0.140818904
2012,Performing research and development,,North East,Higher education,,,,0.013335339
2012,Performing research and development,,North East,Business,,,,0.016070794
2012,Performing research and development,,North East,Private non-profit,,,,0.001239449
2012,Performing research and development,,North East,,,,,0.030659883
2012,Performing research and development,,Yorkshire and the Humber,Government,,,,0.003362329
2012,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.028323349
2012,Performing research and development,,Yorkshire and the Humber,Business,,,,0.034193178
2012,Performing research and development,,Yorkshire and the Humber,Private non-profit,,,,0.000169016
2012,Performing research and development,,Yorkshire and the Humber,,,,,0.066049822
2012,Performing research and development,,East Midlands,Government,,,,0.004901022
2012,Performing research and development,,East Midlands,Higher education,,,,0.019604089
2012,Performing research and development,,East Midlands,Business,,,,0.069412151
2012,Performing research and development,,East Midlands,Private non-profit,,,,0.000281693
2012,Performing research and development,,East Midlands,,,,,0.094202205
2012,Performing research and development,,West Midlands,Government,,,,0.000113977
2012,Performing research and development,,West Midlands,Higher education,,,,0.019889032
2012,Performing research and development,,West Midlands,Business,,,,0.083203399
2012,Performing research and development,,West Midlands,Private non-profit,,,,0.000281693
2012,Performing research and development,,West Midlands,,,,,0.103491351
2012,Performing research and development,,East of England,Government,,,,0.012024601
2012,Performing research and development,,East of England,Higher education,,,,0.036643689
2012,Performing research and development,,East of England,Business,,,,0.205500998
2012,Performing research and development,,East of England,Private non-profit,,,,0.014309997
2012,Performing research and development,,East of England,,,,,0.268473434
2012,Performing research and development,,London,Government,,,,0.018635282
2012,Performing research and development,,London,Higher education,,,,0.099559136
2012,Performing research and development,,London,Business,,,,0.089472149
2012,Performing research and development,,London,Private non-profit,,,,0.008169093
2012,Performing research and development,,London,,,,,0.21581594
2012,Performing research and development,,South East,Government,,,,0.045989824
2012,Performing research and development,,South East,Higher education,,,,0.058242379
